"","总楼层","小区参考均价","绿化率","容积率","总楼栋数","房龄","客厅数","卫生间数","残差"
"1",34,12395,0.35,4,15,8,2,2,-0.353940815569755
"2",18,13532,0.45,4,21,8,1,2,-0.0548871008734447
"3",31,13532,0.45,4,21,8,1,2,0.0153106425204171
"4",11,13496,0.35,4,24,11,2,2,-0.155477433612418
"5",18,17527,0.42,2.53,40,10,1,2,0.336924464845326
"6",15,18825,0.47,2.73,51,14,2,1,0.0191643282987128
"7",33,18825,0.47,2.73,51,14,2,1,-0.021358827032531
"8",32,14472,0.35,3.61,9,3,2,1,-0.0421501757927223
"9",32,14472,0.35,3.61,9,3,2,1,-0.0479150395931236
"10",32,14472,0.35,3.61,9,3,2,2,-0.137599113434292
"11",11,10914,0.3,5.25,4,15,0,1,-0.148358139336723
"12",7,13426,0.365,2,19,24,2,2,0.0885540047188913
"13",32,13882,0.4,3.89,22,10,1,1,-0.0472528413562029
"14",25,18116,0.4,3,6,13,2,2,0.129181684756771
"15",26,17527,0.42,2.53,40,10,2,1,-0.069772254884453
"16",26,18116,0.4,3,6,13,2,2,-0.00148330312121952
"17",32,13882,0.4,3.89,22,10,2,1,-0.146520180572597
"18",32,13882,0.4,3.89,22,10,2,1,-0.246539622229094
"19",33,15394,0.38,5,9,9,1,1,0.132635558645212
"20",26,17527,0.42,2.53,40,10,2,2,-0.0170081147883271
"21",16,18825,0.47,2.73,51,14,2,1,0.0296218346873542
"22",7,13426,0.365,2,19,24,2,1,0.108003165183076
"23",32,14472,0.35,3.61,9,3,2,2,-0.138854518816079
"24",7,13426,0.365,2,19,24,2,2,-0.0821340004977201
"25",18,14635,0.4,3.1,7,17,2,1,0.0235408820287718
"26",33,15394,0.38,5,9,9,2,1,0.163387463741425
"27",32,13882,0.4,3.89,22,10,1,1,-0.0235507290494149
"28",33,18825,0.47,2.73,51,14,1,1,0.1094402987258
"29",18,14635,0.4,3.1,7,17,2,2,-0.109424970250833
"30",33,16211,0.425,4.37,9,7,2,2,-0.12980650095118
"31",18,18116,0.4,3,6,13,2,1,-0.142931071087025
"32",28,17527,0.42,2.53,40,10,1,1,0.0690097115072081
"33",25,13882,0.4,3.89,22,10,1,1,-0.036879275464523
"34",32,13532,0.45,4,21,8,1,1,0.0453096943840507
"35",32,14545,0.396,5.25,12,10,2,1,0.113941070215809
"36",33,14545,0.396,5.25,12,10,2,2,-0.121156670227942
"37",18,18825,0.47,2.73,51,14,1,1,-0.078500670634983
"38",26,17527,0.42,2.53,40,10,2,1,-0.0489946329897885
"39",32,13882,0.4,3.89,22,10,2,1,-0.145304559696565
"40",26,17527,0.42,2.53,40,10,0,1,-0.00246080579856642
"41",32,13532,0.45,4,21,8,2,1,0.0542482350957482
"42",16,18825,0.47,2.73,51,14,2,2,0.0139154192498614
"43",34,14422,0.35,3.25,9,6,2,1,0.268677851385825
"44",12,15295,0.447,1.53,15,20,2,2,0.249763329838925
"45",26,17527,0.42,2.53,40,10,1,1,-0.0251116534752983
"46",6,13454,0.45,2.3,6,17,1,1,-0.0280779674486644
"47",7,13426,0.365,2,19,24,2,1,-0.0273170300172939
"48",32,13882,0.4,3.89,22,10,1,1,-0.0743699774456276
"49",33,15394,0.38,5,9,9,2,2,0.10078335096726
"50",32,14472,0.35,3.61,9,3,1,1,-0.126893853212388
"51",12,15295,0.447,1.53,15,20,2,2,0.0809841648293255
"52",33,16211,0.425,4.37,9,7,1,1,-0.0450381029563162
"53",16,18825,0.47,2.73,51,14,1,1,-0.0679310317500755
"54",6,12347,0.35,4,9,17,2,1,0.0448751040628837
"55",33,16211,0.425,4.37,9,7,1,1,-0.147798675164808
"56",30,13532,0.45,4,21,8,1,1,0.0379541913311261
"57",33,21560,0.4,2.8,17,3,2,2,-0.051791916845059
"58",30,12378,0.35,5.5,4,14,2,2,-0.0213218293665302
"59",32,23830,0.3,3.36,15,2,2,1,-0.0517348131669583
"60",29,12246,0.33,3.5,5,17,2,1,0.128390087455948
"61",26,13699,0.65,3.5,6,11,2,2,0.177781925381967
"62",18,12032,0.42,3.6,21,18,2,1,0.0708093438317146
"63",18,20294,0.43,2.8,10,12,2,2,0.00304508581227783
"64",33,16211,0.425,4.37,9,7,1,1,-0.0822547583193697
"65",26,17527,0.42,2.53,40,10,2,1,-0.0557788814883131
"66",32,13882,0.4,3.89,22,10,2,1,-0.0692297628420304
"67",33,15394,0.38,5,9,9,1,1,0.142804169543449
"68",12,13689,0.5,2.24,5,18,2,1,-0.0782026798010797
"69",33,16211,0.425,4.37,9,7,2,1,-0.0128763371210175
"70",7,11913,0.4,1.5,92,24,1,1,-0.264142443195409
"71",33,18825,0.47,2.73,51,14,2,2,-0.093364836322357
"72",12,15295,0.447,1.53,15,20,2,2,0.218621099657214
"73",32,13882,0.4,3.89,22,10,1,1,-0.0472528413562029
"74",34,12395,0.35,4,15,8,2,1,-0.192522078531148
"75",26,17527,0.42,2.53,40,10,1,1,0.000211778790137822
"76",33,16211,0.425,4.37,9,7,1,1,-0.0655135183257504
"77",28,20294,0.43,2.8,10,12,1,1,-0.571548140635353
"78",18,20294,0.43,2.8,10,12,2,2,-0.0430601908519451
"79",31,14098,0.35,3.5,18,6,2,1,0.362727444828455
"80",33,16211,0.425,4.37,9,7,1,1,0.00610672627024752
"81",32,14472,0.35,3.61,9,3,2,2,-0.158873513994337
"82",31,14098,0.35,3.5,18,6,2,1,-0.083582243654443
"83",32,15394,0.38,5,9,9,2,1,0.208860645005
"84",32,16728,0.5,2.9,8,8,1,1,-0.0605712481185768
"85",32,14472,0.35,3.61,9,3,1,1,-0.00238383202702256
